 (Half Day),（半天）
Serial No - Serial No Service Contract Expiry,序列号服务合同到​​期
Serial No - Serial No Status,序列号状态
Serial No - Serial No Warranty Expiry,序列号保修到期
Sales Price List,销售价目表
Purchase Price List,采购价目表
BOM Rate,物料金额
Reorder Qty,再订购数量
Shortage Qty,短缺数量
Item Price - Item-wise Price List Rate,商品价格单率
Delivery Note/Sales Invoice,发货单或销售发票
Selling Rate,销售单价
Avg. Buying Rate,平均采购单价
Selling Amount,销售金额
Employee - Employee Information,员工资料
Total Actual,实际总值
Half-Yearly,半年
FIFO,先进先出法
Select User...,选择用户
Automatically updated via Stock Entry of type Manufacture or Repack,经由制造或重新打包的库存条目自动更新
Payment Tool,付款工具
Advance Paid,预付款
Item #{0}: Ordered qty can not less than item's minimum order qty (defined in item master).,商品#{0}: 订购的商品不能少于最小订购量(在商品基础数据中进行了设置)
Re-Open Ticket,重新打开
{0} Recipients,{0}收件人
<strong>Condition Examples:</strong></p>,<strong>例子:</strong></p>
<p><strong>Hints:</strong></p>,<p><strong>提示:</strong></p>
"<li>To check for an event every day, select ""Date Change"" in Event</li>",<li>如果是每天进行检查性任务则请选择“日期变更”</li>
"<li>To send an alert if a particular value changes, select ""Value Change""</li>",<li>如果要在某个值改变时发送警报则请选择“值改变”</li>
Search Item,搜索商品
Barcode / Serial No,条码/编号
<b>No employee for the above selected criteria OR salary slip already created</b>,<b>没有员工符合以上条件或相应员工的工资条已经创建</b>
"<div class=""alert alert-info"">You can generate multiple salary slips based on the selected criteria, submit and mail those to the employee directly from here</div>","<div class=""alert alert-info"">你可以根据选择的条件工资条，生成后点击提交存入系统并邮件通知相应员工</div>"
<b>Created Salary Slip has been created: </b>,<b>工资条已创建: </b>
"Download the Template, fill appropriate data and attach the modified file.All dates and employee combination in the selected period will come in the template, with existing attendance records","下载模板，填写员工及相应日期的出勤记录并附上修改后的文件"
{0} ({1}) must have role 'Expense Approver',{0} ({1})必须有 '费用审批'的角色
{0} ({1}) must have role 'Leave Approver',{0} ({1}) 必须有'休假审批'的角色
<em>Addresses will appear only when you save the lead</em>,地址将在信息保存后出现
[Preferred for Billing],[首选账单地址]
[Preferred for Shipping],[首选送货地址]
Tel,电话
delete this,删除
It is needed to fetch Item Details.,商品详情需要其信息
Landed Cost Voucher Amount,到岸成本凭证金额
"Select ""Yes"" for sub - contracting items","如果是分包项目请选择是"
Warehouse where you are maintaining stock of rejected items,被拒绝收货的商品存放的仓库
Total Variable Cost,总可变成本
Total Fixed Cost,总固定成本
{0} Serial Numbers required for Item {1}. Only {2} provided., 商品 {1}需要{0}个序列号. 仅提供了{2}个.
Rate ,价格
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.<br><br>#### Note<br><br>The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.<br><br>#### Description of Columns<br><br>1. Calculation Type: <br>    - This can be on **Net Total** (that is the sum of basic amount).<br>    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.<br>    - **Actual** (as mentioned).<br>2. Account Head: The Account ledger under which this tax will be booked<br>3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.<br>4. Description: Description of the tax (that will be printed in invoices / quotes).<br>5. Rate: Tax rate.<br>6. Amount: Tax amount.<br>7. Total: Cumulative total to this point.<br>8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).<br>9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.","销售税务模板可以应用到销售交易中.这个模板能够包含基本的税以及其它开销例如运输费, 保险费, 处理费等等.<br><br>#### 请注意<br><br>在这定义的标准税务模板会应用到所有的商品. 如果商品不同的税种, 那么必须在商品主数据里的税表进行定义.<br><br>#### 税表的列的描述<br><br>1. 计算类型: <br>    -基于交易总金额 (商品销售金额).<br>    - **基于前一行的总值或金额** (针对的是累加税或费用). 如果选择这个选项, 税会应用在税表此输入行的上一行的值上.<br>    - **实际的** (如以前描述过的. 例如运输费).<br>2. 户头: 会在那个账户下记录账目以及税务<br>3. 成本中心: 如果税或者费用是收入或者是支出则其要记录在成本中心下面.<br>4. 描述: 对此销售的简短描述，其会出现在发票或销售单上.<br>5. 税率(金额）: 税率.<br>6. 金额: 税的金额.<br>7. 总数: 计算到当前行的总和.<br>8. 添加新行: 如果选择的是基于之前的行则可以输入行号，则计算的金额会基于引用的那一行的值进行计算(默认是之前的行).<br>9. 此税是否是基本税?:如果勾选的话则其金额不会影响在税表中的总金额，而其值被认为在商品的价格中已经包含."
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.<br><br>#### Note<br><br>The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.<br><br>#### Description of Columns<br><br>1. Calculation Type: <br>    - This can be on **Net Total** (that is the sum of basic amount).<br>    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.<br>    - **Actual** (as mentioned).<br>2. Account Head: The Account ledger under which this tax will be booked<br>3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.<br>4. Description: Description of the tax (that will be printed in invoices / quotes).<br>5. Rate: Tax rate.<br>6. Amount: Tax amount.<br>7. Total: Cumulative total to this point.<br>8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).<br>9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.<br>10. Add or Deduct: Whether you want to add or deduct the tax.","采购税务模板可以应用到采购交易中.这个模板能够包含基本的税以及其它开销例如运输费, 保险费, 处理费等等.<br><br>#### 请注意<br><br>在这定义的标准税务模板会应用到所有的商品. 如果商品不同的税种, 那么必须在商品主数据里的税表进行定义.<br><br>#### 税表的列的描述<br><br>1. 计算类型: <br>    -基于交易总金额 (商品销售金额).<br>    - **基于前一行的总值或金额** (针对的是累加税或费用). 如果选择这个选项, 税会应用在税表此输入行的上一行的值上.<br>    - **实际的** (如以前描述过的. 例如运输费).<br>2. 户头: 会在那个账户下记录账目以及税务<br>3. 成本中心: 如果税或者费用是收入或者是支出则其要记录在成本中心下面.<br>4. 描述: 对此销售的简短描述，其会出现在发票或销售单上.<br>5. 税率(金额）: 税率.<br>6. 金额: 税的金额.<br>7. 总数: 计算到当前行的总和.<br>8. 添加新行: 如果选择的是基于之前的行则可以输入行号，则计算的金额会基于引用的那一行的值进行计算(默认是之前的行).<br>9.税或费用影响对象: 你可以指明其只影响库存估值 (不包含在总值里面) 或仅仅是总值 (不会在商品在库存的估值) 或两者都影响.<br>10. 增加或扣除: 是否是增税还是减税项."
